,id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,month,year,season,m2_lot,m2_living,m2_above,m2_basement,price_m2,median_price_m2_zipcode,dormitory_type,price_group,house_age,better_season_to_sell,sale_price,roi_%,house_group
8333,2623069069,2014-09-11,775000.0,3,2.5,1,0,0,4,9,1998,0,98027,47.4574,-122.01,9,2014,fall,22408.026755852843,243.403939056113,243.403939056113,0.0,34.58582089552239,596.2245488833676,house,0%_25%,+90,spring,1395000.0,80.0,group_1
8396,8137500400,2014-10-07,545000.0,3,2.5,2,0,0,4,8,1990,0,98027,47.4786,-122.066,10,2014,fall,3732.162764771461,198.81085098476404,198.81085098476404,0.0,146.02792920618325,596.2245488833676,house,0%_25%,60_90,spring,981000.0,80.0,group_1
8469,1423069077,2014-09-15,570000.0,2,1.75,2,0,2,4,8,1994,0,98027,47.4847,-122.0,9,2014,fall,9510.033444816054,266.62950575994057,164.43701226309923,102.19249349684132,59.936697731668716,596.2245488833676,apartment,0%_25%,+90,spring,1026000.0,80.0,group_1
8496,5561400470,2015-04-07,585000.0,4,3.25,2,0,0,4,9,1992,0,98027,47.459,-122.003,4,2015,spring,3245.9123002601264,316.7967298402081,229.46859903381645,87.32813080639168,180.22668078651364,596.2245488833676,house,25%_50%,+90,spring,877500.0,50.0,group_1
8549,5561400220,2014-08-19,592500.0,4,2.5,1,0,0,5,8,1993,0,98027,47.461,-122.002,8,2014,summer,3265.514678558157,313.08063916759573,164.43701226309923,148.64362690449647,181.44153627311522,596.2245488833676,house,25%_50%,+90,spring,888750.0,50.0,group_1
9535,4008400035,2014-10-15,600000.0,5,3.25,2,0,0,4,9,2001,0,98058,47.4395,-122.111,10,2014,fall,5402.917131178001,409.69899665551844,216.462281679673,193.23671497584542,111.05112024347885,385.71,mansion,25%_50%,+90,spring,900000.0,50.0,group_1
11213,2522029039,2014-09-29,550000.0,3,2.0,2,0,0,4,7,1991,0,98070,47.3627,-122.496,9,2014,fall,78345.31772575251,339.0932738758826,339.0932738758826,0.0,7.020202559204277,107.95969817630227,house,0%_25%,+90,spring,990000.0,80.0,group_1
11258,792500260,2014-07-15,430000.0,2,2.0,2,0,0,4,7,1990,0,98070,47.3604,-122.457,7,2014,summer,19788.926049795617,133.77926421404683,133.77926421404683,0.0,21.7293247201983,107.95969817630227,apartment,0%_25%,60_90,spring,774000.0,80.0,group_1
11654,621069074,2014-06-03,365000.0,3,2.5,2,0,0,4,7,1990,0,98042,47.3391,-122.093,6,2014,summer,9282.422891118544,159.7918989223337,159.7918989223337,0.0,39.32163016934224,363.3758950862849,house,0%_25%,60_90,winter,657000.0,80.0,group_1
11718,2322059136,2015-03-09,859000.0,3,2.5,2,0,3,4,8,1999,0,98042,47.3809,-122.13,3,2015,spring,40387.216648086214,271.27461910070605,271.27461910070605,0.0,21.269106199738687,363.3758950862849,house,0%_25%,+90,winter,1546200.0,80.0,group_1
11822,721069087,2014-05-07,651000.0,3,2.5,2,0,0,4,10,1991,0,98042,47.327,-122.094,5,2014,spring,10067.447045707915,301.0033444816054,301.0033444816054,0.0,64.66386135872875,363.3758950862849,house,0%_25%,+90,winter,1171800.0,80.0,group_1
11823,1796370150,2014-10-28,240000.0,3,2.25,2,0,0,4,7,1992,0,98042,47.3719,-122.091,10,2014,fall,1424.5633593459681,139.35340022296546,139.35340022296546,0.0,168.47267510108256,363.3758950862849,house,25%_50%,+90,winter,360000.0,50.0,group_1
12076,821069025,2015-02-13,685000.0,3,2.5,2,0,0,4,10,1992,0,98042,47.3154,-122.079,2,2015,winter,8435.154217762914,305.64845782237086,305.64845782237086,0.0,81.20776245649587,363.3758950862849,house,0%_25%,+90,winter,1233000.0,80.0,group_1
13593,2125059013,2015-04-20,1670000.0,5,3.5,2,0,0,4,11,1997,0,98004,47.644,-122.185,4,2015,spring,3791.8989223337053,401.33779264214047,401.33779264214047,0.0,440.41258330066637,1022.5655023794558,mansion,25%_50%,+90,winter,2505000.0,50.0,group_1
14698,924069176,2014-09-03,710000.0,4,2.75,1,0,0,4,8,1995,0,98075,47.5836,-122.046,9,2014,fall,3884.336677814939,251.7651430694909,157.00483091787441,94.7603121516165,182.78539140417593,783.3155295860422,house,0%_25%,+90,spring,1278000.0,80.0,group_1
16621,1526069017,2014-12-03,921500.0,4,2.5,2,0,0,4,9,1994,0,98077,47.7421,-122.026,12,2014,winter,29298.95949461167,340.9513192121888,340.9513192121888,0.0,31.45162885970308,191.40158374000757,house,0%_25%,+90,fall,1658700.0,80.0,group_1
16692,1626069069,2014-10-29,600000.0,3,2.5,1,0,0,4,7,1997,0,98077,47.7369,-122.049,10,2014,fall,17401.80230397622,125.4180602006689,125.4180602006689,0.0,34.47918724274343,191.40158374000757,house,0%_25%,+90,fall,1080000.0,80.0,group_1
16693,526069024,2014-05-12,950000.0,5,3.0,1,0,0,4,9,2003,0,98077,47.7702,-122.066,5,2014,spring,24038.08992939428,420.84726867335564,297.28725380899294,123.5600148643627,39.52061094664265,191.40158374000757,mansion,0%_25%,+90,fall,1710000.0,80.0,group_1
16750,1126069045,2014-06-20,1135000.0,6,4.25,2,0,0,4,9,2002,0,98077,47.7506,-122.012,6,2014,summer,22734.671125975474,641.0256410256411,447.78892604979563,193.23671497584542,49.92374834502035,191.40158374000757,mansion,25%_50%,+90,fall,1702500.0,50.0,group_1
17851,1224069074,2014-08-06,925000.0,4,2.5,2,0,0,4,10,1991,0,98029,47.576,-121.976,8,2014,summer,9469.528056484578,306.577480490524,306.577480490524,0.0,97.68174237221623,1216.2845814977973,house,0%_25%,+90,fall,1665000.0,80.0,group_1
18813,3421069118,2014-11-20,297000.0,2,1.75,1,0,0,4,7,1996,0,98022,47.2631,-122.019,11,2014,fall,3472.036417688592,118.91490152359718,118.91490152359718,0.0,85.54057742220319,263.01942363288777,apartment,25%_50%,+90,summer,445500.0,50.0,group_1
18835,561500290,2014-07-11,315000.0,3,1.75,1,0,0,4,7,1991,0,98022,47.2559,-122.007,7,2014,summer,3497.0271274619104,154.2177629134151,154.2177629134151,0.0,90.076510281069,263.01942363288777,house,25%_50%,+90,summer,472500.0,50.0,group_1
18939,619079016,2014-06-02,687000.0,4,3.25,2,0,0,4,9,1993,0,98022,47.1593,-121.957,6,2014,summer,17358.41694537347,408.7699739873653,408.7699739873653,0.0,39.57734176808709,263.01942363288777,house,0%_25%,+90,summer,1236600.0,80.0,group_1
18957,3521069150,2014-10-17,431000.0,3,2.5,1,0,0,4,9,1996,0,98022,47.2689,-122.01,10,2014,fall,6596.246748420662,226.68153102935713,226.68153102935713,0.0,65.34018760034928,263.01942363288777,house,0%_25%,+90,summer,775800.0,80.0,group_1
19325,1246700103,2015-04-23,725000.0,4,2.5,2,0,0,4,8,1992,0,98033,47.6934,-122.161,4,2015,spring,2403.3816425120776,250.8361204013378,250.8361204013378,0.0,301.6582914572864,855.5866394814287,house,25%_50%,+90,summer,1087500.0,50.0,group_1
19891,2024079035,2014-06-05,685000.0,3,2.75,2,0,0,4,9,1990,0,98024,47.553,-121.946,6,2014,summer,20436.45484949833,292.64214046822747,278.7068004459309,13.935340022296545,33.51853367154897,104.37234280599687,house,25%_50%,60_90,spring,1027500.0,50.0,group_1
20248,922059169,2014-12-01,800000.0,6,4.25,2,0,0,4,10,1991,0,98031,47.412,-122.168,12,2014,winter,17563.17354143441,509.10442214790044,477.5176514306949,31.586770717205503,45.54985453583708,376.36494318181815,mansion,0%_25%,+90,summer,1440000.0,80.0,group_1
138,3348401382,2015-02-10,318000.0,3,2.25,1,0,0,5,7,1982,0,98178,47.4972,-122.264,2,2015,winter,1176.328502415459,157.00483091787441,101.26347082868823,55.74136008918618,270.33264887063655,413.62895223420645,house,50%_75%,60_90,winter,413400.0,30.000000000000004,group_2
245,2144800146,2014-08-26,257500.0,3,2.0,1,0,0,5,7,1981,0,98178,47.4865,-122.238,8,2014,summer,867.1497584541063,120.77294685990339,120.77294685990339,0.0,296.949860724234,413.62895223420645,house,50%_75%,60_90,winter,334750.0,30.000000000000004,group_2
542,3448000344,2014-11-12,599950.0,5,3.0,1,0,0,5,8,1967,0,98125,47.7176,-122.302,11,2014,fall,1270.345596432553,241.54589371980677,120.77294685990339,120.77294685990339,472.2730583589293,647.3268578678787,mansion,50%_75%,60_90,fall,779935.0,30.000000000000004,group_2
594,3448002285,2014-07-02,475000.0,4,2.0,1,0,0,5,7,1962,0,98125,47.7139,-122.292,7,2014,summer,1251.2077294685992,195.09476031215164,97.54738015607582,97.54738015607582,379.63320463320457,647.3268578678787,house,50%_75%,60_90,fall,617500.0,30.000000000000004,group_2
1537,3575302880,2014-11-10,339300.0,3,2.0,1,0,0,5,7,1972,0,98074,47.6205,-122.063,11,2014,fall,929.022668153103,90.11519881085098,90.11519881085098,0.0,365.22252,668.658863532335,house,50%_75%,60_90,spring,441090.0,30.000000000000004,group_2
2299,4222310680,2014-09-26,240000.0,3,2.0,1,0,0,5,7,1970,0,98003,47.3463,-122.308,9,2014,fall,1032.8874024526199,95.68933481976961,95.68933481976961,0.0,232.35833783054505,323.2933735192096,house,50%_75%,60_90,spring,312000.0,30.000000000000004,group_2
2930,1545808560,2015-04-03,245000.0,3,2.5,1,0,0,5,7,1996,0,98038,47.3592,-122.046,4,2015,spring,789.6692679301375,142.14046822742475,95.68933481976961,46.45113340765515,310.2564705882353,524.450002561007,house,50%_75%,+90,summer,318500.0,30.000000000000004,group_2
2967,1545807990,2015-02-17,315000.0,3,1.75,1,0,0,5,7,1978,0,98038,47.3583,-122.056,2,2015,winter,990.431066518023,175.58528428093646,135.63730955035302,39.947974730583425,318.0433355219961,524.450002561007,house,50%_75%,60_90,summer,409500.0,30.000000000000004,group_2
3087,1545802850,2014-09-11,286000.0,4,2.5,2,0,0,5,7,1989,0,98038,47.359,-122.05,9,2014,fall,736.7149758454107,169.08212560386474,169.08212560386474,0.0,388.20983606557377,524.450002561007,house,50%_75%,60_90,summer,371800.0,30.000000000000004,group_2
3108,1545803340,2015-02-24,269000.0,3,1.75,1,0,0,5,7,1986,0,98038,47.3609,-122.05,2,2015,winter,736.7149758454107,142.14046822742475,142.14046822742475,0.0,365.13442622950816,524.450002561007,house,50%_75%,60_90,summer,349700.0,30.000000000000004,group_2
3375,1545806720,2014-08-26,254950.0,4,2.0,1,0,0,5,7,1977,0,98038,47.3676,-122.046,8,2014,summer,817.5399479747306,202.52694165737645,108.69565217391305,93.83128948346341,311.8502045454546,524.450002561007,house,50%_75%,60_90,summer,331435.0,30.000000000000004,group_2
3561,3296000110,2014-06-02,645000.0,4,2.5,1,0,0,5,8,1963,0,98007,47.6202,-122.138,6,2014,summer,1337.7926421404684,225.75250836120404,155.1467855815682,70.60572277963583,482.13749999999993,673.1422740524781,house,50%_75%,60_90,summer,838500.0,30.000000000000004,group_2
3565,6137500310,2015-02-13,1315000.0,5,4.0,2,0,0,5,10,1982,0,98007,47.6468,-122.151,2,2015,winter,3376.2541806020067,410.62801932367154,254.55221107395022,156.0758082497213,389.4848935116394,673.1422740524781,mansion,50%_75%,60_90,summer,1709500.0,30.000000000000004,group_2
4507,37000335,2014-08-14,446450.0,3,1.5,1,0,0,5,7,1960,0,98126,47.5144,-122.379,8,2014,summer,719.8996655518395,137.49535488665924,137.49535488665924,0.0,620.1558652729384,888.4659681227863,house,50%_75%,-60,winter,580385.0,30.000000000000004,group_2
6855,3903200050,2015-03-24,263950.0,3,1.75,1,0,0,5,7,1977,0,98092,47.2874,-122.187,3,2015,spring,1078.8740245261986,157.9338535860275,109.62467484206616,48.309178743961354,244.65321622319811,357.36479999999995,house,50%_75%,60_90,fall,343135.0,30.000000000000004,group_2
8010,1036400200,2015-02-13,661000.0,4,1.75,1,0,0,5,8,1973,0,98052,47.6315,-122.101,2,2015,winter,1219.3422519509477,155.1467855815682,155.1467855815682,0.0,542.0955428571428,726.2916536865869,house,50%_75%,60_90,spring,859300.0,30.000000000000004,group_2
8397,5706000070,2014-10-14,589000.0,4,2.5,2,0,0,5,8,1962,0,98027,47.5262,-122.028,10,2014,fall,1393.5340022296546,244.33296172426608,244.33296172426608,0.0,422.66639999999995,596.2245488833676,house,50%_75%,60_90,spring,765700.0,30.000000000000004,group_2
8538,3324069541,2014-07-10,695000.0,4,3.5,2,0,0,5,9,1992,0,98027,47.5197,-122.041,7,2014,summer,1955.5927164622817,307.5065031586771,222.96544035674472,84.54106280193237,355.39097387173393,596.2245488833676,house,50%_75%,+90,spring,903500.0,30.000000000000004,group_2
8548,3424069066,2014-05-21,396450.0,3,1.75,1,0,0,5,8,1967,0,98027,47.5172,-122.027,5,2014,spring,1156.261612783352,143.06949089557787,143.06949089557787,0.0,342.87223204242326,596.2245488833676,house,50%_75%,60_90,spring,515385.0,30.000000000000004,group_2
9393,2473500110,2015-01-12,419950.0,3,1.75,1,0,0,5,8,1977,0,98058,47.4458,-122.134,1,2015,winter,1570.8844295800818,164.43701226309923,164.43701226309923,0.0,267.3334792122538,385.71,house,50%_75%,60_90,spring,545935.0,30.000000000000004,group_2
9426,5112800042,2014-12-03,400000.0,5,2.75,1,0,0,5,8,1977,0,98058,47.4496,-122.083,12,2014,winter,1783.7235228539578,229.46859903381645,116.12783351913788,113.34076551467857,224.24999999999997,385.71,mansion,50%_75%,60_90,spring,520000.0,30.000000000000004,group_2
9567,1423700680,2015-02-26,190000.0,3,1.75,1,0,0,5,7,1965,0,98058,47.4559,-122.183,2,2015,winter,715.3474544778893,129.13415087328133,129.13415087328133,0.0,265.6051948051948,385.71,house,50%_75%,60_90,spring,247000.0,30.000000000000004,group_2
9721,221049191,2015-04-28,329500.0,3,2.5,1,0,0,5,7,1979,0,98001,47.341,-122.265,4,2015,spring,2088.6287625418063,196.95280564845783,126.34708286882201,70.60572277963583,157.7590072057646,290.0072952924394,house,50%_75%,60_90,winter,428350.0,30.000000000000004,group_2
9911,4012800010,2014-05-06,360000.0,4,2.0,1,0,0,5,8,1965,0,98001,47.3182,-122.279,5,2014,spring,1743.5897435897436,248.9780750650316,248.9780750650316,0.0,206.47058823529412,290.0072952924394,house,50%_75%,60_90,winter,468000.0,30.000000000000004,group_2
10203,9225900055,2014-07-22,380000.0,3,1.75,1,0,0,5,7,1968,0,98056,47.4989,-122.188,7,2014,summer,1009.847640282423,162.57896692679302,162.57896692679302,0.0,376.294388224471,502.70862559609577,house,50%_75%,60_90,winter,494000.0,30.000000000000004,group_2
10247,3343300065,2014-09-02,515000.0,4,2.5,1,0,0,5,8,1977,0,98056,47.5392,-122.186,9,2014,fall,1375.8825715347455,211.8171683389075,139.35340022296546,72.46376811594203,374.30519918973664,502.70862559609577,house,50%_75%,60_90,winter,669500.0,30.000000000000004,group_2
10267,2824059043,2014-07-22,481000.0,3,2.75,1,0,0,5,7,1967,0,98056,47.5343,-122.185,7,2014,summer,1375.8825715347455,212.7461910070606,130.06317354143442,82.68301746562616,349.59378798109384,502.70862559609577,house,50%_75%,60_90,winter,625300.0,30.000000000000004,group_2
10281,3204800040,2014-11-03,431000.0,3,1.75,1,0,0,5,7,1967,0,98056,47.5375,-122.175,11,2014,fall,1195.187662578967,154.2177629134151,154.2177629134151,0.0,360.61282549553044,502.70862559609577,house,50%_75%,60_90,winter,560300.0,30.000000000000004,group_2
10310,7708000010,2014-11-07,421000.0,3,2.0,1,0,0,5,7,1968,0,98056,47.5309,-122.186,11,2014,fall,1175.678186547752,131.9212188777406,131.9212188777406,0.0,358.09118925325953,502.70862559609577,house,50%_75%,60_90,winter,547300.0,30.000000000000004,group_2
10379,923059206,2014-07-15,374000.0,4,1.75,1,0,0,5,7,1963,0,98056,47.492,-122.166,7,2014,summer,1449.2753623188407,206.24303232998886,105.90858416945375,100.33444816053512,258.05999999999995,502.70862559609577,house,50%_75%,60_90,winter,486200.0,30.000000000000004,group_2
11211,2423029245,2014-06-17,550000.0,3,1.75,2,0,0,5,8,1976,0,98070,47.4638,-122.484,6,2014,summer,7267.279821627648,208.10107766629508,208.10107766629508,0.0,75.6816874400767,107.95969817630227,house,50%_75%,60_90,spring,715000.0,30.000000000000004,group_2
11604,7942100310,2015-01-27,232000.0,3,1.75,1,0,0,5,7,1968,0,98042,47.3811,-122.087,1,2015,winter,1043.2924563359347,120.77294685990339,120.77294685990339,0.0,222.37292965271592,363.3758950862849,house,50%_75%,60_90,winter,301600.0,30.000000000000004,group_2
11611,8648200030,2014-07-16,260000.0,3,1.75,1,0,0,5,7,1984,0,98042,47.363,-122.08,7,2014,summer,1018.9520624303234,102.19249349684132,102.19249349684132,0.0,255.16411378555796,363.3758950862849,house,50%_75%,60_90,winter,338000.0,30.000000000000004,group_2
11643,1022059082,2014-05-08,307000.0,3,1.75,1,0,0,5,7,1966,0,98042,47.4156,-122.149,5,2014,spring,1287.6254180602007,175.58528428093646,175.58528428093646,0.0,238.4233766233766,363.3758950862849,house,50%_75%,60_90,winter,399100.0,30.000000000000004,group_2
11709,2522059112,2014-05-07,248500.0,4,1.75,1,0,0,5,7,1960,0,98042,47.3614,-122.119,5,2014,spring,930.6949089557786,159.7918989223337,159.7918989223337,0.0,267.004791375524,363.3758950862849,house,50%_75%,-60,winter,323050.0,30.000000000000004,group_2
11741,7942100290,2014-09-10,199000.0,3,1.75,1,0,0,5,7,1968,0,98042,47.3816,-122.087,9,2014,fall,917.038275733928,97.54738015607582,97.54738015607582,0.0,217.00293789889574,363.3758950862849,house,50%_75%,60_90,winter,258700.0,30.000000000000004,group_2
11750,2212900920,2014-07-22,215000.0,4,1.75,1,0,0,5,7,1969,0,98042,47.3281,-122.135,7,2014,summer,896.692679301375,149.5726495726496,149.5726495726496,0.0,239.76999585578116,363.3758950862849,house,50%_75%,60_90,winter,279500.0,30.000000000000004,group_2
11766,2618300190,2014-12-24,255000.0,3,1.5,1,0,0,5,7,1964,0,98042,47.422,-122.153,12,2014,winter,956.5217391304349,103.12151616499443,103.12151616499443,0.0,266.59090909090907,363.3758950862849,house,50%_75%,60_90,winter,331500.0,30.000000000000004,group_2
11828,7942100180,2014-06-27,230000.0,3,1.75,1,0,0,5,7,1969,0,98042,47.3828,-122.09,6,2014,summer,891.8617614269789,93.83128948346341,93.83128948346341,0.0,257.8875,363.3758950862849,house,50%_75%,60_90,winter,299000.0,30.000000000000004,group_2
11985,5547500050,2014-09-17,255000.0,3,2.25,1,0,0,5,7,1977,0,98042,47.3815,-122.09,9,2014,fall,964.1397250092903,161.64994425863992,161.64994425863992,0.0,264.48448641356714,363.3758950862849,house,50%_75%,60_90,winter,331500.0,30.000000000000004,group_2
12055,8092500720,2014-07-11,230000.0,3,1.5,1,0,0,5,7,1967,0,98042,47.3675,-122.11,7,2014,summer,887.0308435525827,123.5600148643627,123.5600148643627,0.0,259.2919983242564,363.3758950862849,house,50%_75%,60_90,winter,299000.0,30.000000000000004,group_2
12084,621069154,2014-07-21,226000.0,4,1.5,1,0,0,5,7,1972,0,98042,47.3423,-122.088,7,2014,summer,1011.7056856187291,111.48272017837236,111.48272017837236,0.0,223.38512396694213,363.3758950862849,house,50%_75%,60_90,winter,293800.0,30.000000000000004,group_2
12359,3625059109,2014-05-08,1051000.0,4,3.0,1,0,3,5,8,1964,0,98008,47.6164,-122.104,5,2014,spring,3156.447417316983,271.27461910070605,135.63730955035302,135.63730955035302,332.9692724275959,665.2749999999999,house,50%_75%,60_90,spring,1366300.0,30.000000000000004,group_2
12427,2424000060,2014-06-16,500000.0,4,2.75,1,0,0,5,7,1960,0,98059,47.5218,-122.164,6,2014,summer,1425.771088814567,211.8171683389075,211.8171683389075,0.0,350.6874307682283,544.9270919173299,house,50%_75%,-60,fall,650000.0,30.000000000000004,group_2
12462,2787720140,2015-04-07,416000.0,3,2.5,1,0,0,5,7,1969,0,98059,47.5124,-122.16,4,2015,spring,1072.2779635823115,166.29505759940542,110.55369751021925,55.74136008918618,387.95910587419854,544.9270919173299,house,50%_75%,60_90,fall,540800.0,30.000000000000004,group_2
12473,3450300270,2015-04-03,268000.0,5,1.75,1,0,0,5,7,1963,0,98059,47.5008,-122.162,4,2015,spring,963.2107023411372,160.72092159048682,93.83128948346341,66.88963210702342,278.2361111111111,544.9270919173299,mansion,50%_75%,60_90,fall,348400.0,30.000000000000004,group_2
12514,3450300020,2015-03-18,329000.0,4,2.0,1,0,0,5,7,1963,0,98059,47.5009,-122.164,3,2015,spring,847.8260869565217,171.86919360832405,171.86919360832405,0.0,388.05128205128204,544.9270919173299,house,50%_75%,60_90,fall,427700.0,30.000000000000004,group_2
12526,2787720170,2014-09-29,395000.0,4,2.5,1,0,0,5,7,1969,0,98059,47.512,-122.16,9,2014,fall,1090.0222965440357,197.88182831661095,123.5600148643627,74.32181345224824,362.3779084633086,544.9270919173299,house,50%_75%,60_90,fall,513500.0,30.000000000000004,group_2
12649,5095401360,2014-11-21,418000.0,3,2.5,1,0,0,5,8,1978,0,98059,47.4694,-122.069,11,2014,fall,1491.0813823857302,193.23671497584542,126.34708286882201,66.88963210702342,280.3334579439252,544.9270919173299,house,50%_75%,60_90,fall,543400.0,30.000000000000004,group_2
12665,2525000760,2014-11-05,435000.0,3,2.0,2,0,0,5,7,1964,0,98059,47.483,-122.164,11,2014,fall,1183.9464882943143,219.2493496841323,219.2493496841323,0.0,367.41525423728814,544.9270919173299,house,50%_75%,60_90,fall,565500.0,30.000000000000004,group_2
12669,2787700180,2015-01-12,320000.0,3,2.0,1,0,0,5,7,1968,0,98059,47.5066,-122.159,1,2015,winter,802.3039762170198,116.12783351913788,116.12783351913788,0.0,398.85132005558125,544.9270919173299,house,50%_75%,60_90,fall,416000.0,30.000000000000004,group_2
12672,7229900145,2014-12-16,430000.0,4,2.5,1,0,0,5,8,1962,0,98059,47.4821,-122.108,12,2014,winter,1488.294314381271,186.7335562987737,186.7335562987737,0.0,288.9213483146067,544.9270919173299,house,50%_75%,60_90,fall,559000.0,30.000000000000004,group_2
13195,9834200885,2014-07-17,360000.0,4,2.5,1,0,0,5,7,1962,0,98144,47.572,-122.29,7,2014,summer,379.041248606466,193.23671497584542,96.61835748792271,96.61835748792271,949.7647058823529,1612.4471999999998,house,50%_75%,60_90,spring,468000.0,30.000000000000004,group_2
14006,1525059198,2014-05-21,1185000.0,3,2.25,2,0,0,5,10,1978,0,98005,47.6501,-122.164,5,2014,spring,3803.9762170196955,256.4102564102564,256.4102564102564,0.0,311.51614321301224,598.7251557281434,house,50%_75%,60_90,winter,1540500.0,30.000000000000004,group_2
14494,9477000650,2014-11-19,397000.0,3,1.75,1,0,0,5,7,1967,0,98034,47.7351,-122.189,11,2014,fall,1089.7435897435898,152.35971757710888,152.35971757710888,0.0,364.3058823529411,590.1757009345795,house,50%_75%,60_90,spring,516100.0,30.000000000000004,group_2
14581,8099900260,2014-05-28,544500.0,4,2.5,1,0,0,5,7,1974,0,98075,47.5816,-122.0,5,2014,spring,967.4842066146415,207.17205499814196,134.70828688219993,72.46376811594203,562.7998847705012,783.3155295860422,house,50%_75%,60_90,spring,707850.0,30.000000000000004,group_2
16643,626100023,2014-06-11,600000.0,5,2.75,1,0,0,5,7,1979,0,98077,47.7201,-122.062,6,2014,summer,5007.246376811595,270.34559643255295,140.28242289111856,130.06317354143442,119.82633863965266,191.40158374000757,mansion,50%_75%,60_90,fall,780000.0,30.000000000000004,group_2
17848,3904940200,2014-06-20,660000.0,4,3.25,2,0,0,5,8,1988,0,98029,47.5747,-122.014,6,2014,summer,861.4827201783725,281.4938684503902,281.4938684503902,0.0,766.120996441281,1216.2845814977973,house,50%_75%,60_90,fall,858000.0,30.000000000000004,group_2
18390,2141300620,2014-09-15,550000.0,3,2.75,1,0,0,5,8,1975,0,98006,47.5582,-122.139,9,2014,fall,1231.140839836492,182.0884429580082,115.19881085098477,66.88963210702342,446.74011469966797,731.1664229768201,house,50%_75%,60_90,summer,715000.0,30.000000000000004,group_2
18587,1951800580,2014-10-24,590000.0,4,2.5,1,0,0,5,8,1973,0,98006,47.5403,-122.168,10,2014,fall,1161.2783351913788,343.7383872166481,178.37235228539578,165.36603493125233,508.0607999999999,731.1664229768201,house,50%_75%,60_90,summer,767000.0,30.000000000000004,group_2
18943,2320069260,2014-10-27,415000.0,3,2.0,1,0,2,5,8,1986,0,98022,47.2133,-122.007,10,2014,fall,3074.136008918618,186.7335562987737,186.7335562987737,0.0,134.9972801450589,263.01942363288777,house,50%_75%,60_90,summer,539500.0,30.000000000000004,group_2
19010,6665800060,2015-03-05,795000.0,3,2.0,1,0,2,5,8,1975,0,98033,47.6652,-122.188,3,2015,spring,1268.1159420289855,271.27461910070605,135.63730955035302,135.63730955035302,626.9142857142857,855.5866394814287,house,50%_75%,60_90,summer,1033500.0,30.000000000000004,group_2
